Date,Close,High,Low,Open,Volume,Ticker
2022-01-03,178.10366821289062,178.9550062933326,173.89596741451703,174.0133871781769,104487900,AAPL
2022-01-04,175.84323120117188,179.01369889567948,175.2756775127618,178.71035458130368,99310400,AAPL
2022-01-05,171.16583251953125,176.3031560396219,170.89184312629723,175.7551772531539,94537600,AAPL
2022-01-06,168.3085174560547,171.53769548653034,167.95624321761545,168.99349099432447,96904000,AAPL
2022-01-07,168.474853515625,170.40257420223315,167.35932100577125,169.17940193566972,86709100,AAPL
2022-01-10,168.49444580078125,168.79779016511287,164.56071920573362,165.45119229098708,106765600,AAPL
2022-01-11,171.32241821289062,171.42026304461638,167.1538521125257,168.62165897014336,76138300,AAPL
2022-01-12,171.76271057128906,173.37729170304524,171.0679572091586,172.34004419476074,74805200,AAPL
2022-01-13,168.49444580078125,172.8293615927784,168.1030216763988,172.00739332853072,84505800,AAPL
2022-01-14,169.3555450439453,170.05029852382498,167.4180294399018,167.66266389110206,80440800,AAPL
2022-01-18,166.1556854248047,168.83686885983136,165.77405636274548,167.82897633871863,90956700,AAPL
2022-01-19,162.662353515625,167.40826837840387,162.37858408989868,166.3514456378891,94815000,AAPL
2022-01-20,160.97923278808594,166.0382709410417,160.6563135530504,163.3962221186515,91420500,AAPL
2022-01-21,158.92431640625,162.76018251834915,158.81667665863466,160.8911718694381,122848900,AAPL
2022-01-24,158.15127563476562,158.81668910799385,151.37979580013618,156.58562410189697,162294600,AAPL
2022-01-25,156.3507843017578,159.26682305990172,153.65002507588994,155.56795099632697,115798400,AAPL
2022-01-26,156.26271057128906,160.8618354481178,154.43284958250229,159.99093736491258,108275300,AAPL
2022-01-27,155.80284118652344,160.32368253815685,154.8830129616112,158.96351514402045,121954600,AAPL
2022-01-28,166.67433166503906,166.69390660020625,159.30594382680772,162.15349217595866,179935700,AAPL
2022-01-31,171.02882385253906,171.2441033483954,165.87192581665457,166.5079843021577,115541600,AAPL
2022-02-01,170.86251831054688,171.08757786653237,168.6118779567779,170.27538954650115,86213900,AAPL
2022-02-02,172.0660858154297,172.105235689561,169.6099612749151,170.9994831805343,84914300,AAPL
2022-02-03,169.18919372558594,172.4575215973305,168.42593537257994,170.7352853699913,89418100,AAPL
2022-02-04,168.90505981445312,170.580497991328,167.22962163757825,168.20940619823992,82465400,AAPL
2022-02-07,168.18978881835938,170.43348845120025,167.49413533637534,169.36552707422473,77251200,AAPL
2022-02-08,171.2957000732422,171.8051921224292,167.9644243058782,168.2583626015754,74829200,AAPL
2022-02-09,172.71640014648438,173.07891560572492,171.36429283315064,172.4910539110368,71285000,AAPL
2022-02-10,168.6405029296875,171.93257943938036,168.08203354026793,170.6196718007765,90865900,AAPL
2022-02-11,165.23086547851562,169.58111126110254,164.64298876993468,168.8462728505392,98670700,AAPL
2022-02-14,165.46603393554688,166.15188018995096,163.19292640629095,163.98654956855333,86185500,AAPL
2022-02-15,169.29696655273438,169.45373566949445,166.80832036305304,167.5137664381475,62527400,AAPL
2022-02-16,169.06182861328125,169.83585183660028,166.6123672162483,168.3759824121772,61177400,AAPL
2022-02-17,165.46603393554688,168.4347801834387,165.06431864713625,167.57256492057238,69589300,AAPL
2022-02-18,163.91795349121094,167.0924457737123,162.83039207397334,166.3870146722984,82772700,AAPL
2022-02-22,160.99819946289062,163.32028399061443,158.87205389872815,161.64484588368407,91162800,AAPL
2022-02-23,156.83412170410156,162.7911986729469,156.52058346872764,162.19352949330056,90009200,AAPL
2022-02-24,159.4501190185547,159.55789590082478,148.92722915533128,149.49550590272597,141147500,AAPL
2022-02-25,161.51747131347656,161.78200234869726,157.61791846840168,160.5278794584224,91974200,AAPL
2022-02-28,161.78201293945312,162.07595128148682,159.14639022474867,159.76365924798694,95056600,AAPL
2022-03-01,159.90081787109375,163.23209394256236,158.69568719407653,161.37049453342058,83474400,AAPL
2022-03-02,163.1929168701172,163.97674752234462,159.65589394659725,161.06678613054137,79724800,AAPL
2022-03-03,162.86959838867188,165.4954290281514,162.20335200198932,165.06432138955572,76678400,AAPL
2022-03-04,159.87144470214844,162.20333673673338,158.82308299816066,161.16476749621853,83737200,AAPL
2022-03-07,156.0797119140625,161.68408181721537,155.82495831371006,160.05763556238298,96418800,AAPL
2022-03-08,154.2572784423828,159.58730866544224,152.65043241487155,155.60938587479396,131148300,AAPL
2022-03-09,159.6558380126953,160.1065453386811,156.1874084009024,158.21555399203595,91454900,AAPL
2022-03-10,155.31546020507812,157.1476526374479,152.82679892923494,156.96149116992498,105342000,AAPL
2022-03-11,151.60202026367188,156.0600418102309,151.37667406119195,155.71711132575638,96970100,AAPL
2022-03-14,147.5751190185547,151.0043643598726,147.0656419035059,148.38834185067742,108732100,AAPL
2022-03-15,151.95477294921875,152.42508026860065,147.33999637401098,147.84947354452075,92964300,AAPL
2022-03-16,156.36378479003906,156.76549997179433,151.3375011134131,153.875139056129,102300200,AAPL
2022-03-17,157.37295532226562,157.74527815418617,154.44340972475143,155.4035941882953,75615400,AAPL
2022-03-18,160.66502380371094,161.15491594906342,156.53033290091022,157.26517111893895,123511700,AAPL
2022-03-21,162.03675842285156,162.98715054298916,159.71465909153343,160.20455132045697,95811400,AAPL
2022-03-22,165.4072265625,165.9950882926474,161.5762655771906,162.164127307338,81532000,AAPL
2022-03-23,166.76913452148438,169.15000379737148,164.2608735199057,164.5940116285297,98062700,AAPL
