provider,variant,row_index,ticker,date,window_start,window_end,window_n_days,stance,direction,confidence,reason,parse_error,parsed_json,raw_text
zai,3,0,AAPL,2022-01-14 00:00:00,2022-01-03 00:00:00,2022-01-14 00:00:00,10,,UP,0.5,"The price has stabilized near the 10-day SMA (171.13) after a sharp correction, and the MACD histogram has turned positive (0.0051). The Bayesian trend probability has increased from 0.25 on 2022-01-04 to 0.5 on 2022-01-14, indicating a shift in sentiment.",,"{""window_summary"": ""The price declined from a high of 178.10 on 2022-01-03 to a low of 167.42 on 2022-01-14, with the 10-day SMA (171.13) acting as a dynamic resistance. Momentum indicators show a shift from negative to positive, while Bayesian trend probabilities have risen from 0.25 to 0.5."", ""direction"": ""UP"", ""confidence"": 0.5, ""reason"": ""The price has stabilized near the 10-day SMA (171.13) after a sharp correction, and the MACD histogram has turned positive (0.0051). The Bayesian trend probability has increased from 0.25 on 2022-01-04 to 0.5 on 2022-01-14, indicating a shift in sentiment."", ""grounding"": [""SMA_10=171.1325668334961"", ""MACD_hist=0.0051105497221088"", ""Posterior_Trend=0.5"", ""Prior_Up=0.25""]}","```json
{
  ""window_summary"": ""The price declined from a high of 178.10 on 2022-01-03 to a low of 167.42 on 2022-01-14, with the 10-day SMA (171.13) acting as a dynamic resistance. Momentum indicators show a shift from negative to positive, while Bayesian trend probabilities have risen from 0.25 to 0.5."",
  ""direction"": ""UP"",
  ""confidence"": 0.5,
  ""reason"": ""The price has stabilized near the 10-day SMA (171.13) after a sharp correction, and the MACD histogram has turned positive (0.0051). The Bayesian trend probability has increased from 0.25 on 2022-01-04 to 0.5 on 2022-01-14, indicating a shift in sentiment."",
  ""grounding"": [""SMA_10=171.1325668334961"", ""MACD_hist=0.0051105497221088"", ""Posterior_Trend=0.5"", ""Prior_Up=0.25""]
}
```"
zai,3,1,AAPL,2022-01-28 00:00:00,2022-01-18 00:00:00,2022-01-28 00:00:00,9,,DOWN,0.6666666666666667,"The price trend is bearish, with the Close price dropping from 166.16 on 2022-01-18 to 155.80 on 2022-01-27. The RSI_14 confirms this weakness, falling from 14.60 on 2022-01-21 to 12.19 on 2022-01-27. Although a strong positive return of 0.07 occurred on 2022-01-28, the Bayesian evolution shows a significant increase in the probability of an up move (Posterior_Up from 0.166 to 0.667), suggesting a potential reversal. However, the prior trend was strongly bearish, and the overall window trend is down, making the slightly more likely direction DOWN.",,"{""window_summary"": ""The price action in the window shows a downtrend from January 18 to January 27, with the Close price declining from 166.16 to 155.80. This decline is supported by bearish momentum, evidenced by negative returns and a declining RSI, though a sharp reversal occurred on January 28."", ""direction"": ""DOWN"", ""confidence"": 0.6666666666666667, ""reason"": ""The price trend is bearish, with the Close price dropping from 166.16 on 2022-01-18 to 155.80 on 2022-01-27. The RSI_14 confirms this weakness, falling from 14.60 on 2022-01-21 to 12.19 on 2022-01-27. Although a strong positive return of 0.07 occurred on 2022-01-28, the Bayesian evolution shows a significant increase in the probability of an up move (Posterior_Up from 0.166 to 0.667), suggesting a potential reversal. However, the prior trend was strongly bearish, and the overall window trend is down, making the slightly more likely direction DOWN."", ""grounding"": [""Close=155.80284118652344"", ""RSI_14=12.193204344609327"", ""Posterior_Up=0.6666666666666667"", ""Prior_Up=0.1666666666666666""]}","```json
{
  ""window_summary"": ""The price action in the window shows a downtrend from January 18 to January 27, with the Close price declining from 166.16 to 155.80. This decline is supported by bearish momentum, evidenced by negative returns and a declining RSI, though a sharp reversal occurred on January 28."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.6666666666666667,
  ""reason"": ""The price trend is bearish, with the Close price dropping from 166.16 on 2022-01-18 to 155.80 on 2022-01-27. The RSI_14 confirms this weakness, falling from 14.60 on 2022-01-21 to 12.19 on 2022-01-27. Although a strong positive return of 0.07 occurred on 2022-01-28, the Bayesian evolution shows a significant increase in the probability of an up move (Posterior_Up from 0.166 to 0.667), suggesting a potential reversal. However, the prior trend was strongly bearish, and the overall window trend is down, making the slightly more likely direction DOWN."",
  ""grounding"": [""Close=155.80284118652344"", ""RSI_14=12.193204344609327"", ""Posterior_Up=0.6666666666666667"", ""Prior_Up=0.1666666666666666""]
}
```"
zai,3,2,AAPL,2022-02-11 00:00:00,2022-01-31 00:00:00,2022-02-11 00:00:00,10,,DOWN,0.6,"The price closed at 165.23, below the 10-day SMA of 169.81, and the RSI dropped below 50, indicating weakening momentum. The Bayesian 'Prior_Up' field was 0.4167, and the 'Posterior_Up' field dropped to 0.1515 by the end of the window, signaling a shift in probability towards a downward trend.",,"{""window_summary"": ""The price action in the window was characterized by a consolidation phase with a slight downward bias, evidenced by a negative return of -0.0202 and a declining RSI from 56.47 to 43.92. Volatility remained relatively low, with a 10-day volatility of 0.0163, and the MACD remained negative, suggesting weak momentum."", ""direction"": ""DOWN"", ""confidence"": 0.6, ""reason"": ""The price closed at 165.23, below the 10-day SMA of 169.81, and the RSI dropped below 50, indicating weakening momentum. The Bayesian 'Prior_Up' field was 0.4167, and the 'Posterior_Up' field dropped to 0.1515 by the end of the window, signaling a shift in probability towards a downward trend."", ""grounding"": [""Close=165.23086547851562"", ""SMA_10=169.81249389648437"", ""RSI_14=43.9175135137968"", ""Posterior_Up=0.1515151515151515""]}","```json
{
  ""window_summary"": ""The price action in the window was characterized by a consolidation phase with a slight downward bias, evidenced by a negative return of -0.0202 and a declining RSI from 56.47 to 43.92. Volatility remained relatively low, with a 10-day volatility of 0.0163, and the MACD remained negative, suggesting weak momentum."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.6,
  ""reason"": ""The price closed at 165.23, below the 10-day SMA of 169.81, and the RSI dropped below 50, indicating weakening momentum. The Bayesian 'Prior_Up' field was 0.4167, and the 'Posterior_Up' field dropped to 0.1515 by the end of the window, signaling a shift in probability towards a downward trend."",
  ""grounding"": [""Close=165.23086547851562"", ""SMA_10=169.81249389648437"", ""RSI_14=43.9175135137968"", ""Posterior_Up=0.1515151515151515""]
}
```"
zai,3,3,AAPL,2022-02-25 00:00:00,2022-02-14 00:00:00,2022-02-25 00:00:00,9,,DOWN,0.55,"The technical setup is bearish. The price formed lower highs on 2022-02-15 and 2022-02-16, and the RSI dropped below 50 on 2022-02-23. The MACD histogram is negative and deepening, indicating sustained selling pressure. While the Bayesian trend probability is mixed, the Prior_Up (0.4333) is slightly lower than the Prior_Down (0.5667), and the Posterior_Trend (0.3333) suggests a weakening bullish outlook.",,"{""window_summary"": ""The price action shows a consolidation pattern with a slight downward bias, characterized by a series of lower highs and lower lows, culminating in a sharp intraday drop on 2022-02-24. Despite a minor recovery on the final day, the momentum indicators (RSI and MACD) remain in negative territory, and the Bayesian trend probability has not shifted significantly from the prior."", ""direction"": ""DOWN"", ""confidence"": 0.55, ""reason"": ""The technical setup is bearish. The price formed lower highs on 2022-02-15 and 2022-02-16, and the RSI dropped below 50 on 2022-02-23. The MACD histogram is negative and deepening, indicating sustained selling pressure. While the Bayesian trend probability is mixed, the Prior_Up (0.4333) is slightly lower than the Prior_Down (0.5667), and the Posterior_Trend (0.3333) suggests a weakening bullish outlook."", ""grounding"": [""RSI_14=33.1282"", ""MACD_hist=-0.9555"", ""Prior_Up=0.4333"", ""Posterior_Trend=0.3333""]}","```json
{
  ""window_summary"": ""The price action shows a consolidation pattern with a slight downward bias, characterized by a series of lower highs and lower lows, culminating in a sharp intraday drop on 2022-02-24. Despite a minor recovery on the final day, the momentum indicators (RSI and MACD) remain in negative territory, and the Bayesian trend probability has not shifted significantly from the prior."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.55,
  ""reason"": ""The technical setup is bearish. The price formed lower highs on 2022-02-15 and 2022-02-16, and the RSI dropped below 50 on 2022-02-23. The MACD histogram is negative and deepening, indicating sustained selling pressure. While the Bayesian trend probability is mixed, the Prior_Up (0.4333) is slightly lower than the Prior_Down (0.5667), and the Posterior_Trend (0.3333) suggests a weakening bullish outlook."",
  ""grounding"": [""RSI_14=33.1282"", ""MACD_hist=-0.9555"", ""Prior_Up=0.4333"", ""Posterior_Trend=0.3333""]
}
```"
zai,3,4,AAPL,2022-03-11 00:00:00,2022-02-28 00:00:00,2022-03-11 00:00:00,10,,DOWN,0.55,"The price closed at 151.60 on March 11, a low point in the window, and the MACD histogram is deeply negative (-0.727). The Bayesian posterior trend (0.16) is significantly lower than the prior (0.43), indicating a shift in probability towards a downward move.",,"{""window_summary"": ""The price action in the window shows a downtrend with a significant drop on March 7, followed by consolidation. Momentum indicators (RSI and MACD) are bearish, and the Bayesian posterior trend remains low despite some volatility."", ""direction"": ""DOWN"", ""confidence"": 0.55, ""reason"": ""The price closed at 151.60 on March 11, a low point in the window, and the MACD histogram is deeply negative (-0.727). The Bayesian posterior trend (0.16) is significantly lower than the prior (0.43), indicating a shift in probability towards a downward move."", ""grounding"": [""Close=151.60202026367188"", ""MACD_hist=-0.7272913676651824"", ""Posterior_Trend=0.1604938271604938"", ""Prior_Up=0.4333333333333334""]}","```json
{
  ""window_summary"": ""The price action in the window shows a downtrend with a significant drop on March 7, followed by consolidation. Momentum indicators (RSI and MACD) are bearish, and the Bayesian posterior trend remains low despite some volatility."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.55,
  ""reason"": ""The price closed at 151.60 on March 11, a low point in the window, and the MACD histogram is deeply negative (-0.727). The Bayesian posterior trend (0.16) is significantly lower than the prior (0.43), indicating a shift in probability towards a downward move."",
  ""grounding"": [""Close=151.60202026367188"", ""MACD_hist=-0.7272913676651824"", ""Posterior_Trend=0.1604938271604938"", ""Prior_Up=0.4333333333333334""]
}
```"
zai,3,5,AAPL,2022-03-25 00:00:00,2022-03-14 00:00:00,2022-03-25 00:00:00,10,,UP,0.8333333333333334,"The price action shows a clear breakout above the 10-day SMA (160.99) with a widening MACD histogram (2.16) and a high RSI (63.33), indicating sustained momentum. Bayesian indicators show a strong posterior probability of an upward move (0.8333) that has been increasing over the window, culminating in a high confidence score.",,"{""window_summary"": ""The price trend shifted from a consolidation phase to a strong upward trajectory, characterized by a rising 10-day SMA and a widening positive MACD histogram. Volatility remained relatively contained despite the price surge, and Bayesian indicators consistently updated to favor an upward trend."", ""direction"": ""UP"", ""confidence"": 0.8333333333333334, ""reason"": ""The price action shows a clear breakout above the 10-day SMA (160.99) with a widening MACD histogram (2.16) and a high RSI (63.33), indicating sustained momentum. Bayesian indicators show a strong posterior probability of an upward move (0.8333) that has been increasing over the window, culminating in a high confidence score."", ""grounding"": [""SMA_10=160.98838806152344"", ""MACD_hist=2.1593026435825635"", ""Posterior_Up=0.8333333333333334""]}","```json
{
  ""window_summary"": ""The price trend shifted from a consolidation phase to a strong upward trajectory, characterized by a rising 10-day SMA and a widening positive MACD histogram. Volatility remained relatively contained despite the price surge, and Bayesian indicators consistently updated to favor an upward trend."",
  ""direction"": ""UP"",
  ""confidence"": 0.8333333333333334,
  ""reason"": ""The price action shows a clear breakout above the 10-day SMA (160.99) with a widening MACD histogram (2.16) and a high RSI (63.33), indicating sustained momentum. Bayesian indicators show a strong posterior probability of an upward move (0.8333) that has been increasing over the window, culminating in a high confidence score."",
  ""grounding"": [""SMA_10=160.98838806152344"", ""MACD_hist=2.1593026435825635"", ""Posterior_Up=0.8333333333333334""]
}
```"
zai,3,6,AAPL,2022-04-08 00:00:00,2022-03-28 00:00:00,2022-04-08 00:00:00,10,,DOWN,0.55,"The technical indicators suggest a weakening momentum. The 10-day SMA (171.35) is below the 20-day SMA (166.17), and the MACD histogram turned negative on the final day (-0.128). The Bayesian trend probability dropped significantly from 0.92 on 2022-03-28 to 0.42 on 2022-04-08, indicating a shift in sentiment.",,"{""window_summary"": ""The price action in the window shows a consolidation phase with a slight downward bias, characterized by a declining 10-day SMA and a weakening MACD histogram. Volatility remains low, and the Bayesian trend probability has decreased from 0.92 to 0.42 over the period."", ""direction"": ""DOWN"", ""confidence"": 0.55, ""reason"": ""The technical indicators suggest a weakening momentum. The 10-day SMA (171.35) is below the 20-day SMA (166.17), and the MACD histogram turned negative on the final day (-0.128). The Bayesian trend probability dropped significantly from 0.92 on 2022-03-28 to 0.42 on 2022-04-08, indicating a shift in sentiment."", ""grounding"": [""SMA_10=171.345703125"", ""SMA_20=166.16704559326172"", ""MACD_hist=-0.1284246417536421"", ""Posterior_Trend=0.4166666666666667""]}","```json
{
  ""window_summary"": ""The price action in the window shows a consolidation phase with a slight downward bias, characterized by a declining 10-day SMA and a weakening MACD histogram. Volatility remains low, and the Bayesian trend probability has decreased from 0.92 to 0.42 over the period."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.55,
  ""reason"": ""The technical indicators suggest a weakening momentum. The 10-day SMA (171.35) is below the 20-day SMA (166.17), and the MACD histogram turned negative on the final day (-0.128). The Bayesian trend probability dropped significantly from 0.92 on 2022-03-28 to 0.42 on 2022-04-08, indicating a shift in sentiment."",
  ""grounding"": [""SMA_10=171.345703125"", ""SMA_20=166.16704559326172"", ""MACD_hist=-0.1284246417536421"", ""Posterior_Trend=0.4166666666666667""]
}
```"
zai,3,7,AAPL,2022-04-22 00:00:00,2022-04-11 00:00:00,2022-04-22 00:00:00,9,,DOWN,0.65,"The technical setup is bearish. The price has broken below the SMA_10 (163.34) and is trading near the low of the window (158.24). The MACD (MACD_hist) is deeply negative (-1.08) and diverging from the signal line, indicating strong downward momentum. The Bayesian 'Prior_Up' (0.4167) and 'Posterior_Up' (0.1515) have diverged, with the posterior probability of an up move dropping to 15.15%, confirming a shift in the probabilistic forecast toward the downside.",,"{""window_summary"": ""The price action in the window shows a consolidation phase with a slight downward bias, characterized by a series of lower highs and lower lows, culminating in a sharp decline on the final day. Momentum indicators, including the MACD and RSI, have weakened significantly, with the MACD turning negative and the RSI falling below 40, suggesting fading bullish pressure. The Bayesian trend indicators have shifted from a neutral to a bearish stance, reflecting the recent price deterioration."", ""direction"": ""DOWN"", ""confidence"": 0.65, ""reason"": ""The technical setup is bearish. The price has broken below the SMA_10 (163.34) and is trading near the low of the window (158.24). The MACD (MACD_hist) is deeply negative (-1.08) and diverging from the signal line, indicating strong downward momentum. The Bayesian 'Prior_Up' (0.4167) and 'Posterior_Up' (0.1515) have diverged, with the posterior probability of an up move dropping to 15.15%, confirming a shift in the probabilistic forecast toward the downside."", ""grounding"": [""MACD_hist=-1.0777176176515173"", ""RSI_14=39.827837220082806"", ""Prior_Up=0.4166666666666667"", ""Posterior_Up=0.1515151515151515"", ""Close=158.5193328857422""]}","```json
{
  ""window_summary"": ""The price action in the window shows a consolidation phase with a slight downward bias, characterized by a series of lower highs and lower lows, culminating in a sharp decline on the final day. Momentum indicators, including the MACD and RSI, have weakened significantly, with the MACD turning negative and the RSI falling below 40, suggesting fading bullish pressure. The Bayesian trend indicators have shifted from a neutral to a bearish stance, reflecting the recent price deterioration."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.65,
  ""reason"": ""The technical setup is bearish. The price has broken below the SMA_10 (163.34) and is trading near the low of the window (158.24). The MACD (MACD_hist) is deeply negative (-1.08) and diverging from the signal line, indicating strong downward momentum. The Bayesian 'Prior_Up' (0.4167) and 'Posterior_Up' (0.1515) have diverged, with the posterior probability of an up move dropping to 15.15%, confirming a shift in the probabilistic forecast toward the downside."",
  ""grounding"": [""MACD_hist=-1.0777176176515173"", ""RSI_14=39.827837220082806"", ""Prior_Up=0.4166666666666667"", ""Posterior_Up=0.1515151515151515"", ""Close=158.5193328857422""]
}
```"
zai,3,8,AAPL,2022-05-06 00:00:00,2022-04-25 00:00:00,2022-05-06 00:00:00,10,,DOWN,0.58,"The technical indicators show a clear downtrend with the 10-day SMA (156.30) acting as a resistance level and the MACD histogram remaining deeply negative (-0.446). The Bayesian trend probability has increased from 0.42 to 0.58, indicating a higher likelihood of continued price weakness.",,"{""window_summary"": ""The 10-day window shows a consolidation phase with a downward bias, characterized by a declining 10-day SMA (156.30) and a bearish MACD histogram (-0.446) at the end of the period. Volatility has increased, and the Bayesian trend probability has shifted from 0.42 to 0.58, favoring a downward trajectory."", ""direction"": ""DOWN"", ""confidence"": 0.58, ""reason"": ""The technical indicators show a clear downtrend with the 10-day SMA (156.30) acting as a resistance level and the MACD histogram remaining deeply negative (-0.446). The Bayesian trend probability has increased from 0.42 to 0.58, indicating a higher likelihood of continued price weakness."", ""grounding"": [""SMA_10=156.3031753540039"", ""MACD_hist=-0.4460913737132843"", ""Posterior_Trend=0.5833333333333334""]}","```json
{
  ""window_summary"": ""The 10-day window shows a consolidation phase with a downward bias, characterized by a declining 10-day SMA (156.30) and a bearish MACD histogram (-0.446) at the end of the period. Volatility has increased, and the Bayesian trend probability has shifted from 0.42 to 0.58, favoring a downward trajectory."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.58,
  ""reason"": ""The technical indicators show a clear downtrend with the 10-day SMA (156.30) acting as a resistance level and the MACD histogram remaining deeply negative (-0.446). The Bayesian trend probability has increased from 0.42 to 0.58, indicating a higher likelihood of continued price weakness."",
  ""grounding"": [""SMA_10=156.3031753540039"", ""MACD_hist=-0.4460913737132843"", ""Posterior_Trend=0.5833333333333334""]
}
```"
zai,3,9,AAPL,2022-05-20 00:00:00,2022-05-09 00:00:00,2022-05-20 00:00:00,10,,DOWN,0.65,"The price action is structurally bearish, closing below the 10-day SMA for the entire window and failing to reclaim the 150 level. The MACD histogram remains deeply negative, and the Bayesian 'Posterior_Up' probability has collapsed from 0.83 to 0.42, indicating a shift in market sentiment.",,"{""window_summary"": ""The 10-day window shows a clear downtrend with prices consistently below the SMA_10 and SMA_20, which are declining from 155.26 to 142.60. Momentum indicators (RSI_14 and MACD) are bearish and deteriorating, while volatility remains elevated."", ""direction"": ""DOWN"", ""confidence"": 0.65, ""reason"": ""The price action is structurally bearish, closing below the 10-day SMA for the entire window and failing to reclaim the 150 level. The MACD histogram remains deeply negative, and the Bayesian 'Posterior_Up' probability has collapsed from 0.83 to 0.42, indicating a shift in market sentiment."", ""grounding"": [""SMA_10=142.60"", ""SMA_20=149.45"", ""MACD_hist=-1.40"", ""Posterior_Up=0.42""]}","```json
{
  ""window_summary"": ""The 10-day window shows a clear downtrend with prices consistently below the SMA_10 and SMA_20, which are declining from 155.26 to 142.60. Momentum indicators (RSI_14 and MACD) are bearish and deteriorating, while volatility remains elevated."",
  ""direction"": ""DOWN"",
  ""confidence"": 0.65,
  ""reason"": ""The price action is structurally bearish, closing below the 10-day SMA for the entire window and failing to reclaim the 150 level. The MACD histogram remains deeply negative, and the Bayesian 'Posterior_Up' probability has collapsed from 0.83 to 0.42, indicating a shift in market sentiment."",
  ""grounding"": [""SMA_10=142.60"", ""SMA_20=149.45"", ""MACD_hist=-1.40"", ""Posterior_Up=0.42""]
}
```"
