Date,Close,High,Low,Open,Volume,Ticker,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Return,Volatility_10d,Posterior_Trend,Prior_Up,Posterior_Up,Is_Large_Move
2022-01-03,178.10366821289062,178.9550062933326,173.89596741451703,174.0133871781769,104487900,AAPL,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,False
2022-01-04,175.84323120117188,179.01369889567948,175.2756775127618,178.71035458130368,99310400,AAPL,,,,,,,,,,-0.012691692621495054,,0.25,0.25,0.25,False
2022-01-05,171.16583251953125,176.3031560396219,170.89184312629723,175.7551772531539,94537600,AAPL,,,,,,,,,,-0.026599822180755406,,0.2,0.29166666666666663,0.09333333333333331,True
2022-01-06,168.3085174560547,171.53769548653034,167.95624321761545,168.99349099432447,96904000,AAPL,,,,,,,,,,-0.016693256016211744,,0.16666666666666666,0.16666666666666666,0.16666666666666666,False
2022-01-07,168.474853515625,170.40257420223315,167.35932100577125,169.17940193566972,86709100,AAPL,,,,,,,,,,0.000988280700729982,,0.2857142857142857,0.2857142857142857,0.2857142857142857,False
2022-01-10,168.49444580078125,168.79779016511287,164.56071920573362,165.45119229098708,106765600,AAPL,,,,,,,,,,0.00011629204446483854,,0.375,0.375,0.375,False
2022-01-11,171.32241821289062,171.42026304461638,167.1538521125257,168.62165897014336,76138300,AAPL,,,,,,,,,,0.016783772299847843,,0.4444444444444444,0.4444444444444444,0.4444444444444444,False
2022-01-12,171.76271057128906,173.37729170304524,171.0679572091586,172.34004419476074,74805200,AAPL,,,,,,,,,,0.0025699634816696015,,0.5,0.5,0.5,False
2022-01-13,168.49444580078125,172.8293615927784,168.1030216763988,172.00739332853072,84505800,AAPL,,,,,,,,,,-0.019027789906420622,,0.45454545454545453,0.45454545454545453,0.45454545454545453,False
2022-01-14,169.3555450439453,170.05029852382498,167.4180294399018,167.66266389110206,80440800,AAPL,171.1325668334961,,,171.28533801035434,,,,,,0.0051105497221088925,,0.5,0.5,0.5,False
2022-01-18,166.1556854248047,168.83686885983136,165.77405636274548,167.82897633871863,90956700,AAPL,169.9377685546875,,,170.35267390389075,,,,,,-0.018894330376429735,0.013803163484853314,0.5,0.5,0.5,False
2022-01-19,162.662353515625,167.40826837840387,162.37858408989868,166.3514456378891,94815000,AAPL,168.61968078613282,,,168.95443383329697,,,,,,-0.021024450052662402,0.014433225570295999,0.5,0.4797979797979798,0.18737672583826429,True
2022-01-20,160.97923278808594,166.0382709410417,160.6563135530504,163.3962221186515,91420500,AAPL,167.60102081298828,,,167.50439727962222,,,,,,-0.010347328015129165,0.012897814707080929,0.5,0.5,0.5,False
2022-01-21,158.92431640625,162.76018251834915,158.81667665863466,160.8911718694381,122848900,AAPL,166.6626007080078,,,165.9443825753727,,14.596940451400044,,,,-0.012765102344232448,0.012593601067485579,0.5,0.5,0.5,False
2022-01-24,158.15127563476562,158.81668910799385,151.37979580013618,156.58562410189697,162294600,AAPL,165.63024291992187,,,164.5274540407169,,13.96871582227962,,,,-0.004864206994657061,0.012385144181767378,0.4166666666666667,0.4166666666666667,0.4166666666666667,False
2022-01-25,156.3507843017578,159.26682305990172,153.65002507588994,155.56795099632697,115798400,AAPL,164.41587677001954,,,163.0407868154516,,12.607702452133722,,,,-0.011384614672131144,0.012263295074447076,0.3333333333333333,0.3333333333333333,0.3333333333333333,False
2022-01-26,156.26271057128906,160.8618354481178,154.43284958250229,159.99093736491258,108275300,AAPL,162.90990600585937,,,161.80840931651295,,12.54332133657455,,,,-0.0005633085299960872,0.009344230999654582,0.25,0.25,0.25,False
